from,to,label,strength,trust,sensitivity,specificity,statement,quote,source,question,domain,attribution,full.quote,combo.type,definition.type,package,packageNote,fun
5,68,NA,NA,NA,NA,NA,15,"I am experiencing the same situation. May be it will get better after we have some saving once all my kids are out from the college after studying and start working. All our son is getting educated so that is good for me and family. [For driver see answer to E4: My one son has opened a grocery shop. Another son sends remittance, husband goes to labour work and other son also works as a labour so we have left agriculture work that�s why we can say that the income from non farming and non agricultural work has been increased.]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,69,NA,NA,NA,NA,NA,15,"I am experiencing the same situation. May be it will get better after we have some saving once all my kids are out from the college after studying and start working. All our son is getting educated so that is good for me and family. [For driver see answer to E4: My one son has opened a grocery shop. Another son sends remittance, husband goes to labour work and other son also works as a labour so we have left agriculture work that�s why we can say that the income from non farming and non agricultural work has been increased.]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,74,NA,NA,NA,NA,NA,16,"Our situation is slightly changed as we have got a modern house. Good earning but not saving enough to choose and do what ever we like to have. [For driver see answer to E4: My one son has opened a grocery shop. Another son sends remittance, husband goes to labour work and other son also works as a labour so we have left agriculture work that�s why we can say that the income from non farming and non agricultural work has been increased.]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,68,NA,NA,NA,NA,NA,16,"Our situation is slightly changed as we have got a modern house. Good earning but not saving enough to choose and do what ever we like to have. [For driver see answer to E4: My one son has opened a grocery shop. Another son sends remittance, husband goes to labour work and other son also works as a labour so we have left agriculture work that�s why we can say that the income from non farming and non agricultural work has been increased.]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,69,NA,NA,NA,NA,NA,16,"Our situation is slightly changed as we have got a modern house. Good earning but not saving enough to choose and do what ever we like to have. [For driver see answer to E4: My one son has opened a grocery shop. Another son sends remittance, husband goes to labour work and other son also works as a labour so we have left agriculture work that�s why we can say that the income from non farming and non agricultural work has been increased.]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,75,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,76,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,76,NA,NA,NA,NA,NA,18,"We produce rice, wheat, vegetable for self. Now a days production has been increased due to irrigation facility, hybrid seeds and use of fertilizer.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,76,NA,NA,NA,NA,NA,18,"We produce rice, wheat, vegetable for self. Now a days production has been increased due to irrigation facility, hybrid seeds and use of fertilizer.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,76,NA,NA,NA,NA,NA,18,"We produce rice, wheat, vegetable for self. Now a days production has been increased due to irrigation facility, hybrid seeds and use of fertilizer.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,76,NA,NA,NA,NA,NA,19,"We use fertilizer, hybrid seeds, and irrigation facility is good thus production level is increased.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,76,NA,NA,NA,NA,NA,19,"We use fertilizer, hybrid seeds, and irrigation facility is good thus production level is increased.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,76,NA,NA,NA,NA,NA,19,"We use fertilizer, hybrid seeds, and irrigation facility is good thus production level is increased.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,76,NA,NA,NA,NA,NA,19,"We use fertilizer, hybrid seeds, and irrigation facility is good thus production level is increased.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,77,NA,NA,NA,NA,NA,19,selling price of grain is also increased thus income of our household has also increased.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,76,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,76,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,131,NA,NA,NA,NA,NA,21,At the same time viral allergy has been seen in pigs. So rearing pig and piglet is becoming difficult. We still follow what we used to do from generations. So we are unable to gain weight of pigs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,104,NA,NA,NA,NA,NA,21,"We have also decreased the number of pigs as my husband goes for labour work and I also need to look after children so we have decreased the number of pigs.  As we have decreased the number of pigs, our income from pigs has also decreased.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,104,NA,NA,NA,NA,NA,21,"We have also decreased the number of pigs as my husband goes for labour work and I also need to look after children so we have decreased the number of pigs.  As we have decreased the number of pigs, our income from pigs has also decreased.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,130,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,79,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,68,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,130,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,109,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,75,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,73,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,73,NA,NA,NA,NA,NA,26,We have sufficient food thus we don�t have any problem at all.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,100,NA,NA,NA,NA,NA,27,son had gone to abroad but returned back because of health issue.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,100,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,76,NA,NA,NA,NA,NA,29,I have introduced a new species of rice seed. Also now fertilizer is available locally.  We are harvesting new seed which has increased our production level. Increase in production results to increase in income as we sell stocked  produce in the market which we don�t consume. [For driver see answer to I1a: Important link to womens group for farming - trained us on introduction of new seeds: new seeds were used for paddy  harvesting and it has yielded good result],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,76,NA,NA,NA,NA,NA,29,I have introduced a new species of rice seed...We are harvesting new seed which has increased our production level. Increase in production results to increase in income as we sell stocked  produce in the market which we don�t consume.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,76,NA,NA,NA,NA,NA,29,Also now fertilizer is available locally...Increase in production results to increase in income as we sell stocked  produce in the market which we don�t consume.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,76,NA,NA,NA,NA,NA,30,My sons are grown up and they are also helping us on farm. [See answer to C4],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,76,NA,NA,NA,NA,NA,30,We are using modern equipments for cultivation and  harvesting. [See answer to C4],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,76,NA,NA,NA,NA,NA,30,Use of new species of seeds of rice is giving more production.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,130,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,68,NA,NA,NA,NA,NA,32,My other son works as a labour that also add to overall household income.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,110,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,68,NA,NA,NA,NA,NA,34,Now one son works as a labour so some how income has increased.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,110,NA,NA,NA,NA,NA,34,At the same time expenses has also increased to some extent as I frequently need to visit hospital and also one son need to take regular medicines.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,68,NA,NA,NA,NA,NA,35,"Yes it has been changed. We purchased TV, cycle. [For driver see answer to E4: Now one son works as a labour so some how income has increased.]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,68,NA,NA,NA,NA,NA,35,Our food behavior has also changed. [For driver see answer to E4: Now one son works as a labour so some how income has increased.],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,110,NA,NA,NA,NA,NA,35,We spend lots of money for medical purpose. [For driver see answer to E4: Now one son works as a labour so some how income has increased.],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,68,NA,NA,NA,NA,NA,35,We even spend some money for marriage ceremony. [For driver see answer to E4: Now one son works as a labour so some how income has increased.],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,100,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,110,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,110,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,110,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,100,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,101,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,104,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,104,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,105,NA,NA,NA,NA,NA,42,Because of less production due to decreased volume of land cultivation for agriculture work. [See answer to C1: Our production has decreased because of lack of manpower as husband works as a labour and I need to look after children.],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,105,NA,NA,NA,NA,NA,42,Because of less production due to decreased volume of land cultivation for agriculture work. [See answer to C1: Our production has decreased because of lack of manpower as husband works as a labour and I need to look after children.],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,104,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
